No.,Name Arabic,Name,English Meaning,No of verses,Place,Chronology
1,الفاتحة,Al-Fatiha,The Opening,7,Meccan,5
2,البقرة,Al-Baqara,The Cow,286,Medinan,87
3,آل عمران,Al Imran,The House of Joachim,200,Medinan,89
4,النساء,An-Nisa',Women,176,Medinan,92
5,المائدة,Al-Ma'ida,The Table Spread,120,Medinan,112
6,الأنعام,Al-An'am,Cattle,165,Meccan,55
7,الأعراف,Al-A'raf,The Heights,206,Meccan,39
8,الأنفال,Al-Anfal,Spoils of War,75,Medinan,88
9,التوبة,At-Tawba,Repentance,129,Medinan,113
10,يونس,Yunus,Jonah,109,Meccan,51
11,هود,Hud,Hud,123,Meccan,52
12,يوسف,Yusuf,Joseph,111,Meccan,53
13,الرعد,Ar-Ra'd,Thunder,43,Medinan,96
14,إبراهيم,Ibrahim,Abraham,52,Meccan,72
15,الحجر,Al-Hijr,The City of Stoneor The Rocky Plain,99,Meccan,54
16,النحل,An-Nahl,The Bee,128,Meccan,70
17,الإسراء,Al-Isra',The Night Journey,111,Meccan,50
18,الكهف,Al-Kahf,The Cave,110,Meccan,69
19,مريم,Maryam,Mary,98,Meccan,44
20,طه,Ta-Ha,Ta-Ha,135,Meccan,45
21,الأنبياء,Al-Anbiya',The Prophets,112,Meccan,73
22,الحج,Al-Hajj,The Pilgrimage,78,Medinan,103
23,المؤمنون,Al-Mu'minoon,The Believers,118,Meccan,74
24,النور,An-Nur,Light,64,Medinan,102
25,الفرقان,Al-Furqan,The Criterion,77,Meccan,42
26,الشعراء,Ash-Shu'ara,The Poets,227,Meccan,47
27,النمل,An-Naml,The Ants,93,Meccan,48
28,القصص,Al-Qasas,The Story,88,Meccan,49
29,العنكبوت,Al-Ankabut,The Spider,69,Meccan,85
30,الروم,Ar-Rum,Byzantium,60,Meccan,84
31,لقمان,Luqman,Luqman,34,Meccan,57
32,السجدة,As-Sajda,Prostration,30,Meccan,75
33,الأحزاب,Al-Ahzab,The Confederates,73,Medinan,90
34,سبأ,Saba',Sheba,54,Meccan,58
35,فاطر,Fatir,The Originator,45,Meccan,43
36,يس,Ya Seen,Ya Seen,83,Meccan,41
37,الصافات,As-Saffat,Those Ranged in Ranks,182,Meccan,56
38,ص,Sad,Sad,88,Meccan,38
39,الزمر,Az-Zumar,The Crowds,75,Meccan,59
40,غافر,Ghafir,The Forgiver,85,Meccan,60
41,فصلت,Fussilat,Expounded,54,Meccan,61
42,الشورى,Ash-Shura,Counsel,53,Meccan,62
43,الزخرف,Az-Zukhruf,Gold Ornaments,89,Meccan,63
44,الدخان,Ad-Dukhan,Smoke,59,Meccan,64
45,الجاثية,Al-Jathiya,Kneeling,37,Meccan,65
46,الأحقاف,Al-Ahqaf,The Sand Dunes,35,Meccan,66
47,محمد,Muhammad,Muhammad,38,Medinan,95
48,الفتح,Al-Fath,Victory,29,Medinan,111
49,الحجرات,Al-Hujurat,The Private Chambers,18,Medinan,106
50,ق,Qaf,Qaf,45,Meccan,34
51,الذاريات,Adh-Dhariyat,The Scattering Winds,60,Meccan,67
52,الطور,At-Tur,The Mountain,49,Meccan,76
53,النجم,An-Najm,The Star,62,Meccan,23
54,القمر,Al-Qamar,The Moon,55,Meccan,37
55,الرحمن,Ar-Rahman,The Compassionate,78,Medinan,97
56,الواقعة,Al-Waqi'a,The Inevitable,96,Meccan,46
57,الحديد,Al-Hadid,Iron,29,Medinan,94
58,المجادلة,Al-Mujadila,She who Disputes,22,Medinan,105
59,الحشر,Al-Hashr,The Gathering,24,Medinan,101
60,الممتحنة,Al-Mumtahina,She who is Examined,13,Medinan,91
61,الصف,As-Saff,The Ranks,14,Medinan,109
62,الجمعة,Al-Jumu'a,The Congregation,11,Medinan,110
63,المنافقون,Al-Munafiqun,The Hypocrites,11,Medinan,104
64,التغابن,At-Taghabun,Mutual Disposession,18,Medinan,108
65,الطلاق,At-Talaq,Divorce,12,Medinan,99
66,التحريم,At-Tahrim,Forbiddance,12,Medinan,107
67,الملك,Al-Mulk,Dominion,30,Meccan,77
68,القلم,Al-Qalam,The Pen,52,Meccan,2
69,الحاقة,Al-Haqqa,The Undeniable Reality,52,Meccan,78
70,المعارج,Al-Ma'arij,The Ascending Ways,44,Meccan,79
71,نوح,Nuh,Noah,28,Meccan,71
72,الجن,Al-Jinn,The Jinn,28,Meccan,40
73,المزمل,Al-Muzzammil,The Enwrapped One,20,Meccan,3
74,المدثر,Al-Muddathir,The Covered One,56,Meccan,4
75,القيامة,Al-Qiyama,Resurrection,40,Meccan,31
76,الإنسان,Al-Insan,The Human,31,Medinan,98
77,المرسلات,Al-Mursalat,Those Sent Forth,50,Meccan,33
78,النبأ,An-Naba',The Tiding,40,Meccan,80
79,النازعات,An-Nazi'at,The Snatchers,46,Meccan,81
80,عبس,Abasa,He Frowned,42,Meccan,24
81,التكوير,At-Takwir,The Enfolding,29,Meccan,7
82,الإنفطار,Al-Infitar,The Splitting,19,Meccan,82
83,المطففين,Al-Mutaffifeen,The Defrauders,36,Meccan,86
84,الإنشقاق,Al-Inshiqaq,The Bursting Open,25,Meccan,83
85,البروج,Al-Burooj,The Constellations,22,Meccan,27
86,الطارق,At-Tariq,The Night Visitantor The Morning Star,17,Meccan,36
87,الأعلى,Al-A'la,The Highest,19,Meccan,8
88,الغاشية,Al-Ghashiya,The Overwhelming Event,26,Meccan,68
89,الفجر,Al-Fajr,The Dawn,30,Meccan,10
90,البلد,Al-Balad,The City,20,Meccan,35
91,الشمس,Ash-Shams,The Sun,15,Meccan,26
92,الليل,Al-Lail,The Night,21,Meccan,9
93,الضحى,Ad-Dhuha,The Morning Brightness,11,Meccan,11
94,الشرح,Ash-Sharh,Expansion,8,Meccan,12
95,التين,At-Teen,The Fig,8,Meccan,28
96,العلق,Al-Alaq,The Blood Clot,19,Meccan,1
97,القدر,Al-Qadr,The Night of Power,5,Meccan,25
98,البينة,Al-Bayyina,The Clear Proof,8,Medinan,100
99,الزلزلة,Az-Zalzala,The Earthquake,8,Medinan,93
100,العاديات,Al-'Adiyat,The Chargers,11,Meccan,14
101,القارعة,Al-Qari'a,The Catastrophe,11,Meccan,30
102,التكاثر,At-Takathur,Vying for Increase,8,Meccan,16
103,العصر,Al-'Asr,Time,3,Meccan,13
104,الهمزة,Al-Humaza,The Slanderer,9,Meccan,32
105,الفيل,Al-Feel,The Elephant,5,Meccan,19
106,قريش,Quraysh,Quraysh,4,Meccan,29
107,الماعون,Al-Ma'oon,Assistance,7,Meccan,17
108,الكوثر,Al-Kawthar,Abundance,3,Meccan,15
109,الكافرون,Al-Kafiroon,Disbelievers,6,Meccan,18
110,النصر,An-Nasr,Help,3,Medinan,114
111,المسد,Al-Masad,Palm Fiber,5,Meccan,6
112,الإخلاص,Al-Ikhlas,Sincerity,4,Meccan,22
113,الفلق,Al-Falaq,Daybreak,5,Meccan,20
114,الناس,An-Nas,Mankind,6,Meccan,21
